SK_ID_CURR,TARGET
100001,0.2
100005,0.17
100013,0.13
100028,0.14
100038,0.22
100042,0.19
100057,0.11
100065,0.12
100066,0.19
100067,0.23
100074,0.28
100090,0.15
100091,0.11
100092,0.18
100106,0.1
100107,0.32
100109,0.11
100117,0.11
100128,0.14
100141,0.2
100150,0.11
100168,0.16
100169,0.17
100170,0.12
100171,0.08
100172,0.14
100184,0.14
100187,0.18
100212,0.11
100222,0.13
100223,0.12
100232,0.18
100241,0.29
100245,0.07
100253,0.15
100256,0.15
100271,0.13
100278,0.33
100280,0.22
100306,0.2
100311,0.25
100312,0.23
100330,0.24
100331,0.13
100352,0.26
100358,0.19
100367,0.14
100382,0.22
100384,0.15
100385,0.2
100386,0.17
100399,0.13
100404,0.23
100416,0.08
100422,0.21
100426,0.15
100438,0.19
100444,0.26
100445,0.22
100446,0.26
100447,0.25
100450,0.21
100466,0.2
100483,0.11
100484,0.23
100494,0.22
100510,0.19
100512,0.24
100517,0.1
100548,0.23
100551,0.14
100552,0.2
100553,0.1
100561,0.29
100568,0.35
100569,0.14
100591,0.12
100592,0.17
100602,0.2
100607,0.17
100613,0.18
100617,0.17
100618,0.2
100622,0.2
100625,0.23
100677,0.24
100699,0.11
100702,0.4
100711,0.16
100729,0.15
100740,0.21
100744,0.19
100745,0.19
100747,0.17
100751,0.28
100752,0.18
100753,0.37
100754,0.24
100760,0.1
100762,0.15
100763,0.15
100765,0.06
100770,0.24
100772,0.11
100777,0.11
100791,0.12
100792,0.18
100797,0.09
100823,0.21
100826,0.18
100830,0.11
100836,0.37
100872,0.28
100910,0.1
100913,0.24
100918,0.21
100931,0.12
100952,0.14
100953,0.21
100965,0.23
100970,0.05
100982,0.2
100983,0.34
100984,0.18
100987,0.13
100997,0.21
100998,0.22
101002,0.22
101005,0.29
101008,0.29
101020,0.1
101021,0.24
101024,0.2
101025,0.21
101026,0.19
101031,0.18
101041,0.14
101051,0.09
101055,0.15
101056,0.29
101057,0.14
101064,0.19
101079,0.12
101087,0.2
101090,0.18
101092,0.17
101097,0.13
101099,0.27
101107,0.2
101118,0.18
101125,0.1
101126,0.15
101128,0.13
101136,0.18
101140,0.21
101149,0.24
101160,0.25
101169,0.27
101181,0.19
101186,0.11
101190,0.17
101193,0.21
101194,0.29
101198,0.18
101200,0.18
101204,0.13
101211,0.18
101213,0.24
101223,0.07
101225,0.17
101237,0.16
101243,0.25
101244,0.23
101258,0.19
101259,0.18
101268,0.16
101269,0.11
101271,0.22
101279,0.22
101281,0.29
101287,0.07
101292,0.13
101294,0.19
101296,0.17
101297,0.14
101299,0.21
101301,0.11
101305,0.28
101308,0.24
101318,0.12
101327,0.25
101329,0.08
101332,0.16
101337,0.16
101343,0.08
101345,0.09
101346,0.15
101353,0.15
101354,0.13
101355,0.37
101356,0.2
101362,0.18
101363,0.36
101365,0.09
101366,0.19
101367,0.23
101368,0.13
101374,0.17
101380,0.15
101383,0.17
101398,0.22
101399,0.34
101401,0.27
101412,0.15
101426,0.14
101427,0.45
101428,0.21
101429,0.29
101434,0.11
101440,0.25
101448,0.11
101449,0.11
101465,0.21
101467,0.21
101472,0.16
101478,0.34
101497,0.23
101504,0.29
101547,0.18
101548,0.19
101555,0.29
101570,0.17
101572,0.17
101578,0.14
101580,0.24
101588,0.27
101602,0.19
101610,0.29
101614,0.11
101616,0.13
101643,0.22
101644,0.25
101649,0.23
101650,0.16
101665,0.1
101667,0.28
101669,0.22
101674,0.13
101675,0.04
101678,0.2
101682,0.13
101686,0.12
101697,0.24
101700,0.33
101711,0.11
101714,0.12
101715,0.28
101728,0.14
101732,0.12
101757,0.3
101758,0.07
101759,0.07
101762,0.17
101764,0.1
101780,0.33
101784,0.22
101789,0.12
101816,0.19
101819,0.18
101827,0.11
101863,0.19
101867,0.18
101870,0.15
101873,0.24
101878,0.12
101879,0.25
101880,0.03
101887,0.13
101897,0.25
101901,0.19
101903,0.31
101920,0.14
101921,0.12
101922,0.27
101961,0.15
101962,0.19
101971,0.09
101976,0.15
102002,0.18
102005,0.13
102007,0.38
102017,0.2
102019,0.33
102029,0.16
102051,0.33
102052,0.16
102054,0.17
102062,0.16
102067,0.3
102068,0.12
102070,0.12
102090,0.26
102092,0.13
102099,0.19
102100,0.09
102112,0.19
102113,0.2
102122,0.34
102123,0.24
102125,0.12
102126,0.26
102146,0.14
102147,0.15
102151,0.11
102158,0.25
102159,0.1
102162,0.19
102165,0.13
102166,0.08
102174,0.11
102193,0.31
102198,0.15
102205,0.17
102206,0.13
102218,0.13
102221,0.12
102230,0.12
102238,0.14
102248,0.21
102252,0.32
102259,0.22
102262,0.21
102273,0.28
102286,0.3
102293,0.11
102294,0.07
102296,0.1
102298,0.13
102303,0.13
102309,0.13
102315,0.17
102340,0.2
102342,0.2
102344,0.23
102346,0.11
102347,0.29
102374,0.23
102380,0.2
102387,0.19
102393,0.09
102403,0.12
102413,0.09
102414,0.11
102415,0.09
102416,0.16
102439,0.2
102441,0.09
102443,0.09
102444,0.29
102445,0.18
102448,0.1
102449,0.08
102450,0.16
102456,0.11
102458,0.24
102459,0.08
102465,0.09
102470,0.2
102471,0.16
102475,0.21
102476,0.23
102506,0.28
102509,0.12
102519,0.24
102522,0.17
102545,0.14
102549,0.11
102562,0.14
102563,0.08
102568,0.09
102582,0.1
102592,0.13
102597,0.28
102605,0.09
102614,0.17
102617,0.19
102634,0.16
102652,0.1
102655,0.05
102671,0.23
102694,0.35
102701,0.22
102703,0.08
102704,0.14
102713,0.2
102720,0.26
102731,0.09
102733,0.11
102749,0.18
102755,0.22
102763,0.12
102770,0.15
102772,0.2
102799,0.26
102838,0.16
102854,0.15
102862,0.11
102863,0.08
102867,0.09
102868,0.14
102878,0.17
102887,0.03
102898,0.27
102904,0.13
102912,0.17
102919,0.11
102927,0.12
102932,0.12
102933,0.17
102935,0.22
102958,0.1
102969,0.25
102971,0.12
102975,0.07
102979,0.18
102982,0.08
102987,0.23
102989,0.16
102995,0.29
102996,0.17
103000,0.18
103001,0.24
103004,0.29
103010,0.1
103025,0.24
103029,0.15
103046,0.18
103056,0.15
103062,0.21
103078,0.19
103083,0.05
103092,0.15
103096,0.1
103097,0.33
103102,0.17
103112,0.21
103132,0.15
103144,0.3
103145,0.21
103146,0.12
103147,0.26
103158,0.17
103171,0.19
103173,0.16
103184,0.12
103195,0.25
103196,0.2
103206,0.18
103230,0.22
103231,0.29
103232,0.14
103239,0.3
103240,0.28
103243,0.13
103252,0.14
103258,0.1
103259,0.28
103279,0.13
103280,0.1
103286,0.06
103287,0.4
103290,0.13
103298,0.13
103315,0.15
103319,0.12
103334,0.17
103336,0.15
103345,0.1
103368,0.11
103371,0.16
103377,0.21
103398,0.07
103404,0.27
103408,0.36
103410,0.14
103418,0.13
103420,0.29
103432,0.2
103433,0.1
103436,0.1
103440,0.14
103453,0.12
103459,0.13
103460,0.17
103461,0.12
103462,0.19
103473,0.19
103474,0.1
103475,0.22
103478,0.29
103480,0.24
103484,0.11
103494,0.17
103513,0.25
103515,0.13
103516,0.29
103525,0.23
103541,0.28
103544,0.06
103562,0.33
103570,0.33
103572,0.2
103574,0.12
103575,0.13
103591,0.28
103594,0.16
103609,0.12
103613,0.24
103614,0.3
103615,0.25
103624,0.15
103625,0.4
103628,0.28
103629,0.09
103647,0.16
103648,0.19
103651,0.18
103658,0.16
103668,0.11
103669,0.09
103676,0.14
103682,0.09
103683,0.26
103689,0.1
103725,0.1
103733,0.3
103744,0.16
103762,0.17
103771,0.41
103773,0.17
103783,0.11
103784,0.07
103808,0.2
103812,0.26
103813,0.15
103814,0.17
103818,0.16
103824,0.21
103828,0.14
103830,0.4
103840,0.08
103842,0.21
103847,0.27
103848,0.21
103851,0.04
103854,0.19
103857,0.23
103861,0.17
103862,0.28
103865,0.29
103870,0.13
103876,0.09
103891,0.38
103908,0.08
103914,0.2
103918,0.08
103940,0.23
103963,0.19
103966,0.26
103971,0.19
103980,0.11
103984,0.24
103985,0.11
103998,0.33
104019,0.06
104026,0.09
104035,0.18
104044,0.19
104045,0.24
104047,0.37
104051,0.21
104058,0.19
104063,0.19
104066,0.15
104087,0.05
104089,0.17
104095,0.13
104098,0.2
104104,0.1
104110,0.34
104120,0.34
104122,0.08
104131,0.14
104132,0.1
104135,0.18
104136,0.13
104149,0.12
104150,0.2
104156,0.27
104165,0.23
104175,0.08
104179,0.2
104184,0.3
104206,0.21
104216,0.28
104230,0.25
104257,0.15
104272,0.14
104273,0.11
104278,0.24
104294,0.21
104295,0.19
104297,0.13
104298,0.19
104308,0.08
104318,0.08
104319,0.17
104320,0.22
104327,0.1
104334,0.21
104344,0.14
104350,0.18
104351,0.25
104354,0.23
104369,0.24
104376,0.14
104381,0.13
104384,0.12
104391,0.2
104394,0.16
104398,0.27
104402,0.11
104408,0.18
104409,0.21
104410,0.25
104412,0.24
104417,0.24
104424,0.11
104426,0.09
104435,0.22
104445,0.19
104458,0.17
104460,0.12
104466,0.07
104472,0.13
104473,0.11
104479,0.22
104480,0.07
104482,0.23
104499,0.22
104501,0.14
104502,0.09
104506,0.1
104510,0.12
104512,0.21
104520,0.12
104528,0.18
104529,0.14
104541,0.13
104578,0.23
104584,0.22
104588,0.11
104602,0.32
104610,0.17
104611,0.2
104618,0.13
104620,0.04
104622,0.13
104624,0.22
104625,0.1
104634,0.21
104639,0.2
104646,0.11
104647,0.15
104652,0.12
104670,0.21
104677,0.19
104685,0.22
104691,0.1
104696,0.24
104699,0.17
104712,0.21
104714,0.04
104717,0.24
104718,0.13
104740,0.07
104741,0.1
104743,0.22
104744,0.2
104747,0.23
104767,0.22
104772,0.35
104776,0.21
104779,0.08
104814,0.3
104815,0.11
104830,0.13
104831,0.31
104833,0.13
104839,0.23
104840,0.2
104860,0.19
104861,0.26
104866,0.11
104870,0.16
104877,0.18
104878,0.16
104879,0.08
104880,0.13
104899,0.08
104906,0.13
104907,0.18
104913,0.14
104916,0.13
104921,0.16
104930,0.13
104931,0.27
104936,0.16
104937,0.15
104942,0.14
104943,0.07
104969,0.26
104972,0.32
104988,0.12
105013,0.22
105015,0.09
105019,0.22
105027,0.24
105030,0.23
105035,0.35
105041,0.2
105051,0.14
105056,0.33
105067,0.47
105071,0.12
105072,0.12
105074,0.14
105091,0.17
105101,0.08
